geonameid	name	asciiname	alternatenames	latitude	longitude	feature_class	feature_code	country_code	cc2	admin1_code	admin2_code	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date
6474582	Alaska	Alaska		42.61877	1.53922	S	HTL	AD		07				0		1577	Europe/Andorra	2007-04-17
9883569	Florida	Florida		42.50876	1.52222	S	HTL	AD		07				0		1052	Europe/Andorra	2014-12-23
290557	United Arab Emirates	United Arab Emirates	'Alepea Fakatahataha,A-la-baik Lieng-hak Dai-gung-guok,A-la-pak Lien-hap Thai-kung-koet,A-la-pek Lian-hap Thau-lang-kok,A-la-pek Liân-ha̍p Thâu-lâng-kok,Ab'adnanya Arabskia Emiraty,Ab'jadnanyja Arabskija Ehmiraty,Abjadnanyja Arabskija Ehmiraty,Al Imarat al `Arabiyah al Muttahidah,Al Imārāt al ‘Arabīyah al Muttaḩidah,Amoratҳoi Muttaҳidai Arab,Aontas na nEimiriochtai Arabacha,Aontas na nÉimíríochtaí Arabacha,Apvienotie Arabu Emirati,Apvienotie Arābu Emirāti,Araabia UEhendemiraadid,Araabia Ühendemiraadid,Arab Federation of Gulf States,Arab Gulf Federation,Arabaj Nehgehdehһehn Ehmirteh Ulas,Arabakan Miacʻyal Emirutʻyunner,Araban UEhtenzoittud Emiratad,Araban Ühtenzoittud Emiratad,Arabby Iugond Ehmirattae,Arabiar Emirerri Batuak,Arabiar Emirrerri Batuak,Arabiemiirikunnat,Arabo Emirati Oko,Arabrin Sadkh'anvaj Ehmiratar,Arabu mara kafoli,Arabyn Nehgdsehn Ehmirt Uls,Aravia Emiryvy Joaju,Arâbo Emirâti Ôko,Asai Bikeyah Yazhi Alhidadiidzooigii,Awon Emireti Arabu Asokan,Berləshkən Garəp Əmirlekləre,Birikken Arab Ehmirattary,Birikken Arab Ehmirlikteri,Birikken Arab Əmirlikteri,Birlashgan Arab Amirliklari,Birlesen Arap Emirlikleri,Birlesik Arab Emirlikleri,Birlesik Arap Emirlikleri,Birlesken Arab Amirlikleri,Birlesken Arap Emirlikleri,Birleşen Arap Emirlikleri,Birleşik Arab Emirlikleri,Birleşik Arap Emirlikleri,Birleşken Arap Emirlikleri,Birləsmis Ərəb Əmirlikləri,Birləşmiş Ərəb Emiratları,Birləşmiş Ərəb Əmirlikləri,Bouxdaeuzgoz Ahlazbwz Lienzhab,Bunye bema-Arabhu,Cac Tieu Vuong quoc A Rap Thong nhat,Cac Tieu Vuong quoc A-rap Thong nhat,CachIunkh'u A'rabnal Ehmiratru,Các Tiểu Vương quốc A-rập Thống nhất,Các Tiểu Vương quốc Ả Rập Thống nhất,Dagiti Nagkaykaysa nga Emirato nga Arabo,Dawlat Ittihad al Imarat al `Arabiyah,Dawlat Ittiḩād al Imārāt al ‘Arabīyah,De Forenede Arabiske Emirater,De forente arabiske emirater,Dei sameinte arabiske emirata,Egyesuelt Arab Emiratus,Egyesuelt Arab Emirsegek,Egyesült Arab Emirátus,Egyesült Arab Emírségek,Emira Arab Ini,Emira Arabo Uni,Emira Arabo mitambatra,Emiraa Arab UEnii,Emiraa Arab Ünii,Emiraat Araab Denntuɗe,Emiradau Arabaidd Unedig,Emirados Arabes Unidos,Emirados Árabes Unidos,Emiraethau Arabaidd Unedig,Emirate ti Awon Arabu,Emiratele Arabe Unite,Emiratet Arabe te Bashkuara,Emiratet e Bashkuara Arabe,Emirati Arabbi Uniti,Emirati Arabi Unii,Emirati Arabi Uniti,Emirati Gharab Maghquda,Emirati Gharab Maqghuda,Emirati Għarab Magħquda,Emirati Għarab Maqgħuda,Emirati Àrabbi Uniti,Emirati Àrabi Unïi,Emiratong Arabe Unidos,Emiratos Arabe Unite,Emiratos Arabes Unidos,Emiratos Arabes Unitos,Emiratos Arabes Xunios,Emiratos diad Unido ya Arabo,Emiratos Árabes Unidos,Emiratos Árabes Unidos - الإمارات العربيّة المتّحدة,Emiratos Árabes Xuníos,Emirats Arabes Unis,Emirats Arabis Units,Emirats Arabs Unids,Emirats Arabs Units,Emirats arabes unis,Emirats arabes units,Emirats arabos unis,Emirats Àrabs Units,Emiratu Arabi Naklibur Sira,Emiratus Arabici Coniuncti,Emiratus Arabis Unius,Emiratus Árabis Uníus,Emireeti,Emireitit Arabiya,Emirelezhiou Arab Unanet,Emirelezhioù Arab Unanet,Emiriah Arab Bersatu,Emiriyah Arab Bersatu,Emirtiyen Erebi yen Yekbuyi,Emirà Arabo mitambatra,Emirà Àrabo Unì,Emîrtiyên Erebî yên Yekbûyî,Falme za Kiarabu,Federation of Arab Emirates,Federation of Arabian Emirates,Federation of Arabian Gulf Emirates,Fereende Arabiske Emiroate,Feriene Arabyske Emiraten,Foerenade Arabemiraten,Forenede Arabiske Emirater,Förenade Arabemiraten,GIarabazul Coluaral Imaratal,Geanedu Arabisc Bregoricu,Geānedu Arabisc Bregorīcu,Haɗaɗɗiyar Daular Larabawa,Hiniusang Emiratong Arabo,Hukllachasqa Arab Imiratukuna,Imaaraadka Carabta ee Midoobay,Imaaraat yu Araab yu Bennoo yi,Imaaraatka Carabta,Imarat Arab Meusaboh,Inomena Aravika Emirata,Jongtene Arabu Emirata,Jongtėnē Arabu Emīratā,Jungtiniai Arabu Emyratai,Jungtiniai Arabų Emyratai,Kh'aryp Iehmireht Zehguehtkhehr,Kholbohuktaakh Arab Ehmirattara,Lemila alabu,Lemiraens Larabik Pebaloel,Lemiräns Larabik Pebalöl,Leta Zunze Ubumwe z'Abarabu,Leta Zunze Ubumwe z’Abarabu,Limarat Taɛrabin Yeddukklen,Lɛmila alabo,Midawga Imaaraatka Carabta,Mirnisinen Erebi yen Yekbuyi,Muugano wa Falme za Nchi za Kiarabu,Mîrnişînên Erebî yên Yekbûyî,Na h-Iomaratan Arabach Aonaichte,Nagkakaisang Kaemirang Arabo,Ny h-Emmiraidyn Arabagh Unnaneysit,Nyarabu Zunze Ubumwe,OAEH,Obedinjonnye Arabskie Ehmiraty,Obedineni arabski emirstva,Obedineti Arapski Emirati,Obednani Arabs'ki Emirati,Obuedinennye Arabskie Ehmiraty,Obʼednani Arabs'ki Emirati,Ogazejas'kem Arab Ehmiratujos,Orileede Emirate ti Awon Arabu,Orílẹ́ède Ẹmirate ti Awọn Arabu,Os Emiratos Arabes Unidos,Os Emiratos Árabes Unidos,Otuvtchom Arab Ehmiratujas,Ovttastuvvan Arabaemirahtat,Ovttastuvvan Arábaemiráhtat,Ovttastuvvan arabaemirahtat,Ovttastuvvan arábaemiráhtat,Pennternasedh Unys Arabek,Sameindu Emirrikini,Sameindu Emirríkini,Sameinudu arabisku furstadaemin,Sameinuðu arabísku furstadæmin,Spoeny Arabsky Emiraty,Spojene arabske emiraty,Spojené arabské emiráty,Syarikat Amiriah Arab,Taraiyar larabawa,Tlacetililli Arabiaemiryotl,Tlacetilīlli Arabiaemiryōtl,Trucial States,UAE,Ujedineni Arapski Emirati,Ujedinjeni Arapski Emirati,Uni Emirat Arab,Uni Émirat Arab,Unio dels Emirats Arabs,Union of Arab Emirates,Unionati Arabi Emirates,Unionita Araba Emirati,Unit Arabic Emiratus,United Arab Emirates,United Arab Emirates nutome,Unitit Arab Emirates,Unió dels Emirats Àrabs,Unuigintaj Arabaj Emirlandoj,Unuigintaj Arabaj Emirlandos,Unuiĝintaj Arabaj Emirlandoj,Unuiĝintaj Arabaj Emirlandos,Vaeinigte Arabische Emirate,Vereenegt Arabesch Emiraten,Vereenegt Arabesch Emirater,Vereenigde Araobische Emiraoten,Vereenigte Araabsche Emiraten,Vereinegde Arabische Emiraote,Vereinigte Arabische Emirate,Verenigde Arabiese Emirate,Verenigde Arabische Emiraten,Verenigde Arabyske Emiraten,Vereênigde Araobische Emiraoten,Yewiya Emirane Erebi,Yewiya Emiranê Erebi,Yhdistyneet arabiemiirikunnat,Yr Emiradau Arabaidd Unedig,Yunaayitid Arab Imireetis,Yunitid Arab Emiraets,Zdruzeni arabski emirati,Združeni arabski emirati,Zjadnosone Arabske Emiraty,Zjadnośone Arabske Emiraty,Zjednocene arabske emiraty,Zjednoczone Emiraty Arabskie,Zjednoczune Arabske Ymiraty,Zjednoczůne Arabske Ymiraty,Zjednoćene arabske emiraty,a la bo lian he da gong guo,a la bo lian he qiu zhang guo,a lian qiu,aikkiya arapu amirakam,aikkiya arapu emirets,aikkiya arapu kuttatci,alab-emiliteu,alab-emiliteu yeonhab,alamarat,alamarat alʿrbyt almthdt,amarat mthdh ʿrby,arabta gaertianebuli saamiroebi,arabu shou zhang guo lian bang,aymarat,hhiburati ʿimarati ʾarebi,i-United Arab Emirates,l-Emirati Gharab Maghquda,l-Emirati Għarab Magħquda,mthdh ʿrb amarat,muthdہ ʿrab amarat,myrnshynە yەkgrtwwە ʿەrەbyyەkan,sanyukta arab emiretas,sanyukta arab rastram,sanyukta araba amiraata,sanyukta araba amirata,sanyukta araba amirati,sanyukta araba emireta,sanyukta araba emiretas,sanyukta araba imiratsa,sanyukta araba imiretsa,sayukata araba amirata,sayukata araba imarata,shrath xahrab xe mi rets,tilapa araba amirata,yetebaberuti ʾarebi ʿeምretisi,yuna'iteda araba amirata,yuna'iteda araba emiretsa,yunairrad arab emirairr‌s,yunaited arab emirets,yەrەb byrlەshmە khەlypylyky,Àwọn Ẹ́mírétì Árábù Aṣọ̀kan,Ásáí Bikéyah Yázhí Ałhidadiidzooígíí,Â-lâ-pak Lièn-ha̍p Thai-kûng-koet,Èmirats arabes units,Èmirats arabos unis,Émirats Arabes Unis,Émirats arabes unis,Ā-lá-báik Lièng-hăk Dâi-gŭng-guók,ʻAlepea Fakatahataha,ʼyhwd hʼmyrwywt hʻrbywt,Ηνωμένα Αραβικά Εμιράτα,Аб'яднаныя Арабскія Эміраты,Абяднаныя Арабскія Эміраты,Аб’яднаныя Арабскія Эміраты,Аморати Муттаҳидаи Араб,Аморатҳои Муттаҳидаи Араб,Арабай Нэгэдэһэн Эмиртэ Улас,Араббы Иугонд Эмираттæ,Арабрин Садхьанвай Эмиратар,Арабын Нэгдсэн Эмирт Улс,Берләшкән Гарәп Әмирлекләре,Берләшкән Ғәрәп Әмирлектәре,Бириккен Араб Эмираттары,Бириккен Араб Эмирликтери,Біріккен Араб Эмираттары,Біріккен Араб Әмірліктері,ГIарабазул Цолъарал Имаратал,Ниицәтә Араб Нутгуд,ОАЭ,Обʼєднані Арабські Емірати,Обединени арабски емирства,Обединети Арапски Емирати,Объединенные Арабские Эмираты,Объединённые Арабские Эмираты,Обєднані Арабські Емірати,Огазеяськем Араб Эмиратъёс,Споєны Арабскы Еміраты,Уједињени Арапски Емирати,Холбоhуктаах Араб Эмираттара,Хьарып Iэмирэт Зэгуэтхэр,ЦачIунхьу Аьрабнал Эмиратру,Ӏa'rbijn Ckh'anato'khna Ehmiratash,Ӏarbijn Ckh'anato'khna Ehmiratash,Ӏарбийн Цхьанатоьхна Эмираташ,Ӏаьрбийн Цхьанатоьхна Эмираташ,Ӧтувтчӧм Араб Эмиратъяс,Արաբական Միացյալ Էմիրություններ,Միացյալ Արաբական Էմիրաթներ,איחוד האמירויות הערביות,איחוד נסיכויות ערב,ברית האמירויות הערביות,פאראייניגטע אראבישע עמיראטן,ئمارأتیا یأکاگئرئتە عأرأڤی,ئەرەب بىرلەشمە خەلىپىلىكى,الإمارات العربية المتحدة,الامارات,الامارات العربية المتحدة,امارات متحده عربی,امارات متحدهٔ عربی,ایمارات,عمارات متحده ی عربی,متحده عرب امارات,متحده عربی امارات,متحدہ عرب امارات,مُتحدہ عرَب امارات,میرنشینە یەکگرتووە عەرەبییەکان,گڏيل عرب امارات,ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ,އެކުވެރި ޢަރަބި އިމާރާތު,यूनाइटेड अरब अमीरात,संयुक्त अरब अमिराती,संयुक्त अरब अमीरात,संयुक्त अरब इमिराट्स,संयुक्त अरब इमिरेट्स,তিলপা আরব আমিরাত,সংযুক্ত আরব আমিরাত,সংযুক্ত আৰব আমিৰাত,ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ,ਸੰਯੁਕਤ ਅਰਬ ਇਮਰਾਤ,યુનાઇટેડ અરબ એમિરેટ્સ,યુનાઇટેડ આરબ અમીરાત,ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍,ସଂଯୁକ୍ତ ଆରବ ଏମିରେତ,ஐக்கிய அரபு அமீரகம்,ஐக்கிய அரபு எமிரேட்ஸ்,ஐக்கிய அரபு கூட்டாட்சி,యునైటెడ్ అరబ్ ఎమిరేట్స్,యునైటెడ్ ఆరబ్ ఎమిరేట్స్,ಯುನೈಟೆಡ್ ಅರಬ್ ಎಮಿರೇಟ್ಸ್,ಸಂಯುಕ್ತ ಅರಬ್ ಎಮಿರೇಟಸ್,ഐക്യ അറബ് എമിറേറ്റുകൾ,യുണൈറ്റഡ് അറബ് എമിറൈറ്റ്‌സ്,സംയുക്ത അറബ് രാഷ്ട്രം,එක්සත් අරාබි එමිර් රාජ්‍යය,එක්සත් අරාබි එමීර් රාජ්‍යය,สหรัฐอาหรับเอมิเรตส์,ສະຫະລດອາຣບເອມເຣດ,ສະຫະລັດອາຣັບເອມິເຣດ,ສະຫະລັດອາຫລັບເອມິເລດ,ཡ་ནའ་ཊཌ་ ཨ་རབ་ ཨ་མ་རཊས,ཡི་ནེ་ཁྲེ་ཀྲི་ཨ་རབ་ཨེ་མེ་རེ་ཁྲི།,ཡུ་ནའི་ཊེཊ་ཨ་ར བ་ཨེ་མི་རེཊསི,ཡུ་ནའི་ཊེཊ་ཨ་རབ་ཨེ་མི་རེཊསི་,ཡུ་ནཱའི་ཊེཌ་ ཨ་རབ་ ཨེ་མེ་རེཊས,ཨ་རབ། ཨི་མི་རཊ྄། ཆིག་སྒྲིལ་རྒྱལ་ཁབ།,ယူအေအီး,အာရပစောဘားများပြညထောငစနငင,အာရပ်စော်ဘွားများပြည်ထောင်စုနိုင်ငံ,არაბეთის გაერთიანებული ემირატები,არაბთა გაერთიანებული საამიროები,ሕቡራት ኢማራት ዓረብ,የተባበሩት አረብ ኤምሬትስ,የተባበሩት ዓረብ ኤምሬትስ,የተባበሩት የዓረብ ግዛቶች,អេមរាត​អារាប​រម,អេមីរ៉ាត​អារ៉ាប់​រួម,អេមីរ៉ែទអារ៉ាប់រួម,Ẹmirate ti Awọn Arabu,アラブ首長国連邦,阿拉伯联合酋长国,阿拉伯聯合大公國,阿拉伯聯合酋長國,阿联酋,아랍에미리트,아랍에미리트 연합	23.75	54.5	A	PCLI	AE		00				9630959		96	Asia/Dubai	2021-08-16
292223	Dubai	Dubai	DXB,Dabei,Dibai,Dibay,Doubayi,Dubae,Dubai,Dubai City,Dubai emiraat,Dubaija,Dubaj,Dubajo,Dubajus,Dubay,Dubayy,Dubaï,Dubái,Dúbæ,Ehmirat Dubaj,Fort Dabei,Ntoumpai,dby,dbyy,di bai,dobai,du bai,duba'i,dubai,dubay,dubi,dwbyy,tupai,Ντουμπάι,Дубаи,Дубай,Эмірат Дубай,Դուբայի Էմիրություն,דובאי,דוביי,دبئی,دبى,دبي,دبی,دوبەی,دۇبائى,दुबई,দুবাই,துபை,దుబాయ్,ದುಬೈ,ദുബായ്,ดูไบ,დუბაი,ドバイ,杜拜,迪拜,두바이	25.07725	55.30927	P	PPLA	AE		03				3478300		24	Asia/Dubai	2023-12-06
292224	Dubai	Dubai	Debai,Debei,Dibai,Dubai,Dubaï,Dubái,Imarat Dubayy,Imārat Dubayy,Shaikhdom of Dubai,Sheikhdom of Dubai,State of Dubai,dby,dubi,دبي,ดูไบ	25.0	55.33333	A	ADM1	AE		03				3515813		49	Asia/Dubai	2023-12-06
6466538	Queens	Queens		25.271	55.302	S	HTL	AE		03				0		11	Asia/Dubai	2007-04-17
8052436	Al Hind	Al Hind	Al Hind,India,alhnd,الهند	24.47877	54.35075	S	DIP	AE		01	101	12748135.0		0		1	Asia/Dubai	2024-03-14
8052437	Afghānistān	Afghanistan	Afghanistan,Afghānistān,afghanstan,أفغانستان	24.47861	54.35057	S	DIP	AE		01	101	12748135.0		0		9	Asia/Dubai	2024-03-14
8052715	Al Yābān	Al Yaban	Al Yaban,Al Yābān,Japan,alyaban,اليابان	24.45874	54.36478	S	DIP	AE		01	101	12748135.0		0		6	Asia/Dubai	2024-03-14
8052718	Kanadā	Kanada	Canada,Kanada,Kanadā,knda,كندا	24.45659	54.36689	S	DIP	AE		01	101	12748135.0		0		6	Asia/Dubai	2024-03-14
