alternateNameId	geonameid	isolanguage	alternate name	isPreferredName	isShortName	isColloquial	isHistoric	from	to
1561352	290557	nl	Verenigde Arabische Emiraten	1.0					
1599344	292223	de	Dubai						
1599345	292223	en	Dubai						
1599349	292223	ca	Dubai						
1599350	292223	da	Dubai						
1599354	292223	fi	Dubai						
1599357	292223	hu	Dubai						
1599358	292223	id	Dubai						
1599360	292223	it	Dubai						
1599363	292223	lb	Dubai						
1599365	292223	nl	Dubai						
1599366	292223	no	Dubai						
1599368	292223	pt	Dubai						
1599369	292223	ro	Dubai						
1599371	292223	sv	Dubai						
1897172	292223	tr	Dubai						
1982405	292223	bs	Dubai						
1982407	292223	eu	Dubai						
1982410	292223	sw	Dubai						
2186066	292224		Dubai	1.0	1.0				
7411712	292224	en	Dubai		1.0				
6974332	8052436		India						
6974335	8052437		Afghanistan						
6974784	8052715		Japan						
6974793	8052718		Canada						
6974802	8052721		Bangladesh						
6976880	8053917		Eritrea						
6976915	8053932		Thailand						
6976936	8053942		Sri Lanka						
6976969	8053957		Finland						
6977272	8054095		China						
6981991	8056715		Iran						
6981996	8056717		Sudan						
6982008	8056721		Qatar						
6982014	8056723		Pakistan						
7430190	8225704		China						
7431976	8226550		Panama						
7432202	8226651		Qatar						
7432218	8226656		Iran						
7432221	8226657		India						
7432233	8226661		Pakistan						
7432418	8226747		Canada						
564764	1128340		Rabat						
564769	1128345		Rabat						
564771	1128347		Rabat						
565289	1128688		Rabat						
1550990	1128691		Rabat						
565300	1128698		Rabat						
565301	1128699		Rabat						
565302	1128702		Rabat						
565304	1128704		Rabat						
565305	1128705		Rabat						
565306	1128706		Rabat						
565307	1128707		Rabat						
565308	1128708		Rabat						
565309	1128709		Rabat						
567772	1130018		Best						
1906900	1131461	nl	Uruzgan						
1906903	1131461	pt	Uruzgan						
17873319	1131461	nb	Uruzgan						
17873320	1131461	az	Uruzgan						
17873334	1131461	crh	Uruzgan						
17873338	1131461	sv	Uruzgan						
1572794	1131462		Uruzgan						
1573476	1134126		Mali						
1998709	1135689	en	Kunduz						
1998711	1135689	pl	Kunduz						
1998717	1135689	no	Kunduz						
5383771	1135689		Kunduz						
1998616	1135690	de	Kunduz						
5463229	1135690	en	Kunduz		1.0				
5649153	1135690		Kunduz						
17873573	1135690	ast	Kunduz						
17873586	1135690	nb	Kunduz						
17873588	1135690	nl	Kunduz						
17873590	1135690	ceb	Kunduz						
17873598	1135690	sv	Kunduz						
17873602	1135690	war	Kunduz						
17873608	1135690	cy	Kunduz						
17873609	1135690	pl	Kunduz						
17873610	1135690	da	Kunduz						
1917988	1138957	sv	Kabul	1.0					
2080667	1138957	es	Kabul	1.0					
2080668	1138957	en	Kabul	1.0					
17873842	1138957	ast	Kabul						
17873867	1138957	nb	Kabul						
17873870	1138957	nl	Kabul						
17873885	1138957	sl	Kabul						
17873895	1138957	war	Kabul						
17873902	1138957	cy	Kabul						
17873906	1138957	pl	Kabul						
17873907	1138957	da	Kabul						
1591798	1138958	de	Kabul						
1591799	1138958	en	Kabul						
1591800	1138958	es	Kabul						
1591804	1138958	ca	Kabul						
1591807	1138958	da	Kabul						
1591809	1138958	et	Kabul						
1591811	1138958	fi	Kabul						
1591816	1138958	hr	Kabul						
